date,close,volume,open,high,low
10/12/2016,834.09,2373674,834,837.666,830.1
10/11/2016,831,3584648,841.02,841.29,828.35
10/10/2016,841.71,1819724,843.25,845.2,840.27
10/7/2016,839.43,2423112,845.79,845.95,837.45
10/6/2016,841.66,2681335,843.7,847.21,840.6
10/5/2016,844.36,3456636,838,845.67,836.12
10/4/2016,834.03,2948840,840.91,842.365,830.26
10/3/2016,836.74,2764010,836,839.86,831.25
9/30/2016,837.31,4425478,832.61,839.95,832.4
9/29/2016,829.05,4918973,828.26,837.5,824.63
9/28/2016,828.72,4418171,818,830.14,817.0337
9/27/2016,816.11,3812930,801.85,816.64,801.11
9/26/2016,799.16,2649176,801.8,805.93,797.145
9/23/2016,805.75,2350777,803.13,807.75,802.12
9/22/2016,804.7,4073362,794.27,805.889,794.27
9/21/2016,789.74,2712733,783.25,790.69,779.01
9/20/2016,780.22,1932706,776,781.37,776
9/19/2016,775.1,2293948,779.97,781.94,771
9/16/2016,778.52,5495339,773.28,780.46,771.66
9/15/2016,769.69,3036442,762,770.87,757.58
9/14/2016,761.09,2529304,762.2,767.5,758.85
9/13/2016,761.01,3115662,768.77,769.89,759.05
9/12/2016,771.49,3118879,757.35,772.66,756
9/9/2016,760.14,4246938,779.36,781,760.11
9/8/2016,784.06,2027915,783.89,786.5,781.44
9/7/2016,784.48,2422453,789.53,790.79,784.33
9/6/2016,788.87,3716541,774.04,789.48,770.22
9/2/2016,772.44,2168238,774.11,776,771.7
9/1/2016,770.62,1790751,770.9,772.04,766.75
8/31/2016,769.16,1630792,766.6,769.64,764
8/30/2016,767.58,1788141,771.05,771.8358,765.56
8/29/2016,771.29,2196156,768.72,774.98,768.6
8/26/2016,769,2769520,760.05,770,759.795
8/25/2016,759.22,1622017,756,760.56,754.741
8/24/2016,757.25,1742565,763,763.41,755.36
8/23/2016,762.45,1521747,763.31,764.7,761
8/22/2016,759.48,1677625,757.5,759.85,752.1
8/19/2016,757.31,2337567,761.9,762.49,756.89
8/18/2016,764.46,1458281,764,765.17,760.6
8/17/2016,764.63,1887316,764.41,765.22,759.199
8/16/2016,764.04,1601165,768.62,768.7317,763.82
8/15/2016,768.49,2116300,771.9,772.04,767.71
8/12/2016,772.56,1562083,768.46,773.15,768.4225
8/11/2016,771.24,2017239,769.94,773.75,769.12
8/10/2016,768.56,1601412,769.8,772.1,766.19
8/9/2016,768.31,1874890,767.39,772.6,766.9
8/8/2016,766.56,1981337,766.81,767,761.015
8/5/2016,765.98,2702266,764.81,768.47,763.09
8/4/2016,760.77,3176858,753.7,765,750.35
8/3/2016,754.64,3579523,757.06,758.89,752.25
8/2/2016,760.58,3596808,763.81,765.01,757.02
8/1/2016,767.74,3572321,759.87,770.5,757.06
7/29/2016,758.81,6763498,765,766,755
7/28/2016,752.61,7246871,745.98,753.36,739.7
7/27/2016,736.67,2871079,737.97,740.94,733.86
7/26/2016,735.59,2497689,742.71,743.13,732.7525
7/25/2016,739.61,2673985,746.55,748.5,735.35
7/22/2016,744.86,2259345,747.79,751.28,743.53
7/21/2016,744.43,2315367,747.5,749.36,742.7918
7/20/2016,745.72,2192779,744,746.25,740.7
7/19/2016,739.95,2210751,732.5,743.33,732.31
7/18/2016,736.07,2952099,735.49,741.5954,728.72
7/15/2016,735.44,3099239,746.55,746.55,734.05
7/14/2016,741.2,2385498,748.86,749.04,739.02
7/13/2016,742.63,4130770,746.76,756.87,741.25
7/12/2016,748.21,5608111,756.86,757.34,740.33
7/11/2016,753.78,3190358,750,755.9,747
7/8/2016,745.81,3427197,740.14,746.1,738
7/7/2016,736.57,2939304,739.33,739.55,731.63
7/6/2016,737.61,3929890,725.71,737.77,722.58
7/5/2016,728.1,2426204,722.8,729.56,719.61
7/1/2016,725.68,2918061,717.32,728,716.54
6/30/2016,715.62,2843622,717.2,719.37,712.54
6/29/2016,715.6,3065364,715.75,719.5,713.54
6/28/2016,707.95,4032509,700,708,698.1714
6/27/2016,691.36,5571322,692.01,696.8189,682.115
6/24/2016,698.96,7613808,693,712.5292,692.2
6/23/2016,722.08,2808909,715.5,722.12,712.5
6/22/2016,710.6,2255233,716.58,717,707.565
6/21/2016,715.82,2111948,715.72,718.4,712.721
6/20/2016,714.01,3673116,713.5,721.31,710.81
6/17/2016,706.39,5863150,718.19,718.2,699.18
6/16/2016,717.51,3094837,712.05,718,705.3
6/15/2016,714.26,2705287,722,722.56,713.3522
6/14/2016,719.3,2499062,712.33,720.805,712.27
6/13/2016,715.24,3349654,714.01,721.99,711.16
6/10/2016,717.91,3420884,722.35,724.98,714.21
6/9/2016,727.65,2169259,723.1,728.91,722.3
6/8/2016,726.64,2221777,726.4,729.42,721.6
6/7/2016,723.74,2730693,729.89,730,720.55
6/6/2016,726.73,2695531,726.5,731.5,724.42
6/3/2016,725.54,3362610,726.74,727,718.43
6/2/2016,728.24,3022321,720.97,728.28,715.5001
6/1/2016,719.44,3260486,720.9,726.43,718.22
5/31/2016,722.79,3612510,712.33,724.23,711.32
5/27/2016,712.24,2247612,715,716.6,711.1
5/26/2016,714.91,2441497,708.33,715,707.293
5/25/2016,708.35,3269475,708,710.86,705.5159
5/24/2016,704.2,3026450,698.01,707.5,698
5/23/2016,696.75,2586909,704.25,706,696.42
5/20/2016,702.8,2875429,701.05,707.24,700
5/19/2016,698.52,3022212,691.88,699.4,689.56
5/18/2016,697.45,4277735,689.56,702.5399,688.76
5/17/2016,695.27,5102768,709.9,714.47,693.91
5/16/2016,710.66,5431729,710.13,713.25,700.28
5/13/2016,709.92,4750859,714.64,719.25,706.51
5/12/2016,717.93,5038030,717.38,722.45,711.51
5/11/2016,713.23,7327956,705.79,719,701.65
5/10/2016,703.07,6093507,694,704.55,693.5
5/9/2016,679.75,3974324,673.95,686.98,671.41
5/6/2016,673.95,4362455,656.05,676.95,656.01
5/5/2016,659.09,4877179,673.31,676.49,656
5/4/2016,670.9,4631988,662.59,674,662.14
5/3/2016,671.32,4917284,677.36,680.3,670.43
5/2/2016,683.85,6567445,663.92,685.5,662.0251
4/29/2016,659.59,10303510,666,669.98,654
4/28/2016,602,7631449,615.54,626.8,599.2
4/27/2016,606.57,4058455,611.8,615.95,601.28
4/26/2016,616.88,2507082,626.17,626.7549,614.88
4/25/2016,626.2,2680835,616.61,626.98,616.2511
4/22/2016,620.5,5081401,624.47,628.25,611.56
4/21/2016,631,2569681,631,637.82,628.5
4/20/2016,632.99,2603048,630,636.55,623
4/19/2016,627.9,4054469,637.14,638.01,620.8
4/18/2016,635.35,4351587,625.35,637.64,624.9603
4/15/2016,625.89,2883933,621.92,626.77,618.11
4/14/2016,620.75,3508881,615.07,624.38,615.07
4/13/2016,614.82,4224742,607.68,616.81,605.29
4/12/2016,603.17,2637241,598.4,604.06,592.31
4/11/2016,595.93,2700997,596.14,604,594.91
4/8/2016,594.6,2590326,594.32,597.86,589
4/7/2016,591.43,3185912,598.76,599.6,589.08
4/6/2016,602.08,2846646,587.52,602.39,587.5
4/5/2016,586.14,2279713,590.77,593.47,585.25
4/4/2016,593.19,2469551,599,599.5,590.55
4/1/2016,598.5,2914176,590.49,599.03,588.3
3/31/2016,593.64,2679930,599.28,600.75,592.21
3/30/2016,598.69,3888192,596.71,603.24,595
3/29/2016,593.86,4246662,580.15,595.85,576.5
3/28/2016,579.87,3121139,584.4,584.75,575.56
3/24/2016,582.95,5155728,567.11,583.55,567.08
3/23/2016,569.63,3978088,561,572.48,558.1
3/22/2016,560.48,3997376,545.11,562.76,545.05
3/21/2016,553.98,5151552,548.91,555.24,538.58
3/18/2016,552.08,7293341,560.94,562.33,546.09
3/17/2016,559.44,5919980,569.51,571.4,555.01
3/16/2016,574.27,3515329,576.64,581.32,571.14
3/15/2016,577.02,3870822,571,581.52,567
3/14/2016,573.37,3453040,567,576.89,563.05
3/11/2016,569.61,3769218,566.95,570.06,562.73
3/10/2016,558.93,3917562,566.74,567,547.9
3/9/2016,559.47,4374825,559.56,560.35,550.125
3/8/2016,560.26,4727151,557.87,571.35,554.74
3/7/2016,562.8,4928519,573.54,573.63,555.55
3/4/2016,575.14,3413742,581.07,581.4,571.065
3/3/2016,577.49,2737763,577.96,579.866,573.11
3/2/2016,580.21,4579461,581.75,585,573.7
3/1/2016,579.04,5024654,556.29,579.25,556
2/29/2016,552.52,4140465,554,564.81,552.51
2/26/2016,555.23,4870280,560.12,562.5,553.17
2/25/2016,555.15,4521887,555.52,559.39,545.2946
2/24/2016,554.04,6222914,545.75,554.27,533.1501
2/23/2016,552.94,4046481,555.55,556.91,545.33
2/22/2016,559.5,5555615,542.2,560.65,541.08
2/19/2016,534.9,4972834,520.71,535.95,515.35
2/18/2016,525,4733213,541.19,541.2,523.73
2/17/2016,534.1,4820780,528.74,537.48,519.39
2/16/2016,521.1,5112648,519.48,524.45,511.66
2/12/2016,507.08,5371180,510.7,516.75,501.4932
